Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
346	0.309249	341	0.064516	49	0.714286	264	0.287879	11.042402	179	0.363128	1.623440	167	0.251497	42.675184	264	0.287879	0.240000	0.256011	
354	0.341808	320	0.062500	45	0.600000	281	0.320285	11.042402	192	0.369792	1.623440	162	0.308642	42.675184	281	0.320285	0.258000	0.256039	
315	0.298413	336	0.074405	33	0.636364	316	0.284810	11.042402	157	0.324841	1.623440	158	0.272152	42.675184	316	0.284810	0.230000	0.255677	
353	0.334278	321	0.049844	38	0.500000	288	0.305556	11.042402	182	0.318681	1.623440	171	0.350877	42.675184	288	0.305556	0.241000	0.255476	
348	0.270115	348	0.086207	30	0.466667	274	0.313869	11.042402	188	0.329787	1.623440	160	0.200000	42.675184	274	0.313869	0.224000	0.255051	
313	0.389776	367	0.057221	34	0.500000	286	0.272727	11.042402	153	0.405229	1.623440	160	0.375000	42.675184	286	0.272727	0.238000	0.254823	
359	0.253482	345	0.057971	31	0.548387	265	0.260377	16.779553	180	0.211111	1.623440	179	0.296089	42.675184	265	0.260377	0.197000	0.254062	
347	0.244957	340	0.052941	32	0.625000	281	0.291815	16.779553	185	0.205405	1.623440	162	0.290123	42.675184	281	0.291815	0.205000	0.253425	
353	0.266289	350	0.074286	29	0.517241	268	0.335821	16.779553	181	0.254144	1.623440	172	0.279070	42.675184	268	0.335821	0.225000	0.253061	
358	0.251397	367	0.062670	24	0.583333	251	0.326693	16.779553	175	0.211429	1.623440	183	0.289617	42.675184	251	0.326693	0.209000	0.252503	
348	0.241379	328	0.085366	39	0.589744	285	0.242105	16.779553	179	0.178771	1.623440	169	0.307692	42.675184	285	0.242105	0.204000	0.251897	
371	0.347709	353	0.050992	40	0.475000	236	0.241525	8.890750	189	0.396825	1.623440	182	0.296703	42.675184	236	0.241525	0.223000	0.251540	
337	0.418398	362	0.085635	31	0.387097	270	0.311111	8.890750	169	0.514793	1.623440	168	0.321429	42.675184	270	0.311111	0.268000	0.251741	
394	0.286802	320	0.056250	31	0.516129	255	0.337255	9.728511	196	0.326531	1.623440	198	0.247475	42.675184	255	0.337255	0.233000	0.251515	
357	0.327731	333	0.069069	38	0.473684	272	0.261029	9.728511	177	0.355932	1.623440	180	0.300000	42.675184	272	0.261029	0.229000	0.251247	
341	0.302053	316	0.025316	43	0.418605	300	0.263333	9.728511	188	0.329787	1.623440	153	0.267974	42.675184	300	0.263333	0.208000	0.250738	
348	0.284483	354	0.056497	24	0.458333	274	0.317518	9.728511	179	0.296089	1.623440	169	0.272189	42.675184	274	0.317518	0.217000	0.250346	
355	0.309859	332	0.075301	25	0.520000	288	0.322917	9.728511	160	0.381250	1.623440	195	0.251282	42.675184	288	0.322917	0.241000	0.250239	
331	0.293051	368	0.062500	27	0.481481	274	0.255474	9.728511	169	0.325444	1.623440	162	0.259259	42.675184	274	0.255474	0.203000	0.249702	
315	0.314286	368	0.073370	53	0.547170	264	0.295455	9.728511	146	0.349315	1.623440	169	0.284024	42.675184	264	0.295455	0.233000	0.249514	
363	0.305785	329	0.075988	40	0.625000	268	0.257463	9.728511	174	0.390805	1.623440	189	0.227513	42.675184	268	0.257463	0.230000	0.249297	
373	0.249330	326	0.046012	47	0.553191	254	0.401575	9.728511	178	0.331461	1.623440	195	0.174359	42.675184	254	0.401575	0.236000	0.249151	
353	0.314448	344	0.063953	34	0.411765	269	0.304833	9.728511	170	0.294118	1.205776	183	0.333333	43.215229	269	0.304833	0.229000	0.248932	
337	0.344214	352	0.059659	35	0.514286	276	0.289855	9.728511	169	0.272189	1.205776	168	0.416667	43.215229	276	0.289855	0.235000	0.248782	
343	0.390671	322	0.071429	28	0.678571	307	0.263844	9.728511	163	0.380368	1.335708	180	0.400000	43.215229	307	0.263844	0.257000	0.248870	
349	0.375358	374	0.042781	36	0.472222	241	0.327801	9.728511	184	0.440217	1.335708	165	0.303030	43.215229	241	0.327801	0.243000	0.248808	
329	0.322188	352	0.059659	34	0.588235	285	0.319298	13.141084	161	0.304348	1.335708	168	0.339286	43.215229	285	0.319298	0.238000	0.248695	
350	0.260000	318	0.053459	33	0.454545	299	0.290970	13.141084	189	0.269841	1.335708	161	0.248447	43.215229	299	0.290970	0.210000	0.248296	
356	0.244382	343	0.049563	33	0.454545	268	0.302239	13.141084	181	0.204420	1.335708	175	0.285714	43.215229	268	0.302239	0.200000	0.247804	
358	0.279330	331	0.060423	39	0.589744	272	0.308824	13.141084	171	0.245614	1.335708	187	0.310160	43.215229	272	0.308824	0.227000	0.247593	
349	0.275072	355	0.076056	33	0.484848	263	0.311787	13.141084	168	0.297619	1.335708	181	0.254144	43.215229	263	0.311787	0.221000	0.247328	
327	0.272171	377	0.066313	35	0.514286	261	0.337165	13.141084	170	0.258824	1.335708	157	0.286624	43.215229	261	0.337165	0.220000	0.247057	
324	0.364198	385	0.041558	31	0.451613	260	0.315385	13.141084	138	0.318841	1.335708	186	0.397849	43.215229	260	0.315385	0.230000	0.246890	
359	0.253482	359	0.103064	29	0.586207	253	0.320158	13.141084	190	0.147368	1.335708	169	0.372781	43.215229	253	0.320158	0.226000	0.246687	
345	0.373913	343	0.061224	24	0.375000	288	0.267361	6.832595	181	0.436464	1.335708	164	0.304878	43.215229	288	0.267361	0.236000	0.246584	
348	0.295977	342	0.070175	38	0.447368	272	0.301471	11.993559	187	0.299465	1.335708	161	0.291925	43.215229	272	0.301471	0.226000	0.246388	
