Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
381	0.346457	316	0.037975	30	0.433333	273	0.293040	10.836062	194	0.376289	1.449697	187	0.315508	42.495927	273	0.293040	0.237000	0.249735	
365	0.353425	346	0.052023	37	0.702703	252	0.301587	10.836062	194	0.335052	1.449697	171	0.374269	42.495927	252	0.301587	0.249000	0.249726	
325	0.360000	333	0.039039	36	0.583333	306	0.254902	10.836062	155	0.380645	1.449697	170	0.341176	42.495927	306	0.254902	0.229000	0.249485	
355	0.326761	350	0.060000	31	0.580645	264	0.268939	10.836062	185	0.281081	1.449697	170	0.376471	42.495927	264	0.268939	0.226000	0.249216	
331	0.329305	358	0.064246	37	0.540541	274	0.317518	10.836062	156	0.307692	1.449697	175	0.348571	42.495927	274	0.317518	0.239000	0.249099	
331	0.311178	364	0.060440	35	0.457143	270	0.303704	10.836062	163	0.337423	1.449697	168	0.285714	42.495927	270	0.303704	0.223000	0.248806	
377	0.352785	318	0.059748	44	0.363636	261	0.302682	10.836062	188	0.340426	1.449697	189	0.365079	42.495927	261	0.302682	0.247000	0.248786	
360	0.291667	347	0.034582	34	0.441176	259	0.277992	10.836062	179	0.318436	1.449697	181	0.265193	42.495927	259	0.277992	0.204000	0.248294	
329	0.389058	360	0.038889	37	0.405405	274	0.375912	10.836062	163	0.380368	1.449697	166	0.397590	42.495927	274	0.375912	0.260000	0.248421	
340	0.305882	332	0.087349	30	0.366667	298	0.291946	10.836062	178	0.331461	1.449697	162	0.277778	42.495927	298	0.291946	0.231000	0.248234	
327	0.366972	369	0.081301	37	0.621622	267	0.307116	10.836062	158	0.341772	1.449697	169	0.390533	42.495927	267	0.307116	0.255000	0.248306	
358	0.240223	340	0.076471	25	0.520000	277	0.292419	10.836062	175	0.245714	1.449697	183	0.234973	42.495927	277	0.292419	0.206000	0.247861	
349	0.234957	344	0.052326	27	0.444444	280	0.339286	10.836062	179	0.245810	1.449697	170	0.223529	42.495927	280	0.339286	0.207000	0.247435	
330	0.287879	366	0.043716	33	0.363636	271	0.302583	10.836062	188	0.303191	1.449697	142	0.267606	42.495927	271	0.302583	0.205000	0.246997	
356	0.269663	350	0.080000	33	0.393939	261	0.383142	10.836062	194	0.247423	1.449697	162	0.296296	42.495927	261	0.383142	0.237000	0.246895	
347	0.291066	349	0.054441	41	0.536585	263	0.311787	10.836062	175	0.268571	1.449697	172	0.313953	42.495927	263	0.311787	0.224000	0.246664	
356	0.337079	323	0.049536	41	0.487805	280	0.317857	10.836062	172	0.313953	1.449697	184	0.358696	42.495927	280	0.317857	0.245000	0.246648	
339	0.380531	333	0.075075	40	0.550000	288	0.263889	10.836062	154	0.331169	1.449697	185	0.421622	42.495927	288	0.263889	0.252000	0.246701	
340	0.232353	328	0.057927	34	0.558824	298	0.325503	10.836062	169	0.325444	2.787962	171	0.140351	42.495927	298	0.325503	0.214000	0.246380	
343	0.259475	360	0.072222	36	0.444444	261	0.264368	10.836062	188	0.303191	2.299558	155	0.206452	42.495927	261	0.264368	0.200000	0.245930	
